ID,cidade,pf1,sexo,idade1,idade,p3a,p3b,p3c,p3d,p3e,p3f,p3g,p3h,p3i,p3j,p3k,p3l,p3m,p3n,p4a,p4b,p4c,p4d,p4e,p4f,p4g,p4h,p4i,p4j,p4k,p4l,p4m,p4n,p57,religiao,RELIGIAO2,escola,p59,PESO
48563545,12,1,2,64,6,10,3,96,10,9,96,96,10,96,96,96,10,9,10,3,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,3,1.618797587
48564296,12,1,2,30,3,10,10,8,7,9,6,5,96,10,9,96,96,10,96,2,2,3,3,3,4,3,4,3,3,4,3,2,2,2,3,2,5,1,1.060668106
48566393,12,1,1,14,1,6,10,10,10,6,9,96,96,9,96,96,96,7,10,3,1,3,2,1,4,4,4,1,4,4,4,1,1,1,1,1,4,1,1.084561078
48566394,12,1,1,16,2,3,8,7,5,5,3,7,3,9,4,4,4,6,10,4,1,2,2,2,2,2,4,1,4,4,3,2,1,1,11,4,4,2,1.038056456
48566765,12,1,1,23,2,96,96,96,96,96,96,96,96,96,96,96,96,8,5,4,1,4,4,4,4,4,4,4,4,4,4,1,1,2,3,2,4,2,1.060668106
48566866,12,1,2,18,2,9,5,5,7,8,10,3,9,10,8,2,4,10,8,3,1,3,3,4,3,4,4,3,4,4,2,1,2,1,1,1,5,3,1.456103203
48567347,12,1,2,37,4,10,7,8,10,10,9,9,5,10,10,96,10,10,4,1,3,4,3,4,1,2,4,3,4,4,1,1,1,1,8,7,5,3,1.038056456
48567445,12,1,1,29,3,5,10,5,3,5,3,10,96,5,96,96,3,5,10,3,1,3,2,3,2,3,4,3,4,3,3,3,1,2,1,1,5,2,1.060668106
48567653,12,1,1,66,6,96,96,10,9,1,9,10,96,10,10,96,10,96,3,3,3,3,4,4,3,4,2,4,4,4,3,4,4,2,8,7,1,3,1.287090136
48567669,12,1,2,21,2,5,10,6,10,10,10,7,7,8,9,5,10,8,4,1,1,4,2,2,1,1,4,1,4,4,2,1,4,1,3,2,5,3,1.060668106
48567752,12,1,2,42,4,10,9,96,8,5,5,7,10,10,7,96,10,9,3,1,2,4,3,2,2,3,4,1,4,2,2,1,4,4,7,6,6,3,0.7441268632
48567960,12,1,2,24,2,8,10,8,8,9,10,9,8,10,9,9,9,9,9,3,1,3,4,3,2,3,4,3,2,2,4,1,1,1,8,7,5,2,1.065200959
48568254,12,1,2,55,5,96,10,96,7,9,8,8,10,4,5,96,4,6,96,3,1,3,2,2,3,3,3,3,4,4,2,1,1,4,3,2,7,3,1.005323062
48568440,12,1,2,63,6,10,10,1,10,10,5,8,10,96,5,96,4,5,96,4,1,4,2,4,4,1,4,4,4,4,2,2,4,2,8,7,2,3,1.287090136
48568802,12,1,1,64,6,96,3,96,5,2,96,5,3,10,96,96,4,4,96,4,3,4,3,4,4,4,4,4,4,4,2,4,4,2,8,7,2,2,1.315126406
48569294,12,1,1,24,2,7,10,7,5,10,3,7,10,7,5,5,3,10,3,1,1,2,1,2,2,3,1,2,2,1,2,1,2,1,7,6,6,2,0.7441268632
48569498,12,1,1,65,6,6,5,9,10,8,5,4,5,8,2,96,9,8,6,2,3,3,4,4,4,4,4,3,4,4,4,1,2,2,8,7,2,2,1.163793504
48569880,12,1,1,42,4,10,10,10,10,10,10,9,10,10,10,9,10,10,10,1,3,4,3,3,3,4,4,3,3,4,3,2,2,1,3,2,5,3,1.305583222
48569913,12,1,2,20,2,9,10,10,10,10,10,5,5,10,4,10,7,5,10,2,1,3,3,4,3,3,4,3,4,1,1,3,1,1,3,2,5,2,1.084561078
48570016,12,1,1,35,4,7,4,5,6,9,6,7,10,10,7,4,7,8,3,3,4,1,3,4,3,1,2,1,4,4,1,2,4,2,11,4,5,1,1.060668106
48570225,6,1,1,33,3,10,10,10,8,2,5,8,3,5,10,96,10,10,10,1,1,2,3,4,2,2,4,2,3,4,2,1,1,2,11,4,8,4,0.8441863861
48570261,12,1,2,18,2,7,10,8,5,10,10,10,7,10,7,10,5,10,8,1,1,3,3,2,3,1,4,2,3,2,4,2,1,1,8,7,6,3,0.9838912748
48570591,12,1,1,39,4,5,10,96,5,10,5,10,96,10,5,10,10,10,96,3,2,3,3,1,2,2,4,1,3,2,2,1,1,1,8,7,6,3,1.009619394
48570640,12,1,1,19,2,5,5,96,5,96,96,9,96,10,96,10,96,96,10,4,3,4,4,4,4,4,4,3,4,4,4,4,3,1,11,4,5,2,1.060668106
48571049,12,1,2,36,4,2,10,9,6,9,2,9,2,2,2,1,2,9,2,2,2,2,2,2,2,2,4,2,4,4,2,1,1,1,5,1,7,3,0.9838912748
48571186,12,1,2,57,5,96,5,96,5,5,6,2,96,10,96,96,10,8,96,3,3,3,3,4,2,3,4,3,4,4,3,2,4,4,7,6,7,2,1.005323062
48571477,12,1,1,67,6,5,6,4,9,8,96,2,96,7,10,96,96,8,96,4,3,3,4,4,4,4,4,3,3,4,4,3,4,2,8,7,2,3,1.344751393
48571479,12,1,2,14,1,6,10,96,5,5,8,6,3,10,2,96,5,5,10,4,2,3,2,1,1,3,4,1,4,4,1,3,1,1,4,2,4,3,1.329312308
48571759,12,1,2,45,5,10,10,5,10,10,8,10,10,6,10,10,4,8,96,1,1,3,1,1,2,2,3,2,3,3,3,2,3,2,8,7,8,3,1.126017866
48571825,6,1,2,54,5,7,10,8,9,10,3,8,10,6,10,96,5,7,2,3,3,3,3,3,3,3,3,3,4,3,3,3,4,2,8,7,2,3,1.006759341
48571891,12,1,2,57,5,7,7,96,7,7,5,96,7,5,5,96,7,7,96,3,3,3,3,4,4,4,4,4,4,4,4,3,3,2,4,2,2,2,1.344751393
48571893,12,1,1,83,6,1,96,96,96,96,96,96,96,5,96,96,96,96,96,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,8,7,1,4,1.076546685
48571894,12,1,1,30,3,5,10,7,8,8,7,6,96,7,4,96,7,5,10,3,1,3,3,3,3,4,4,2,3,4,4,4,1,1,8,7,5,1,1.084561078
48572055,12,1,1,37,4,96,9,96,5,4,96,96,96,6,96,96,4,3,96,3,2,3,3,4,4,4,4,2,4,4,2,1,3,2,4,2,3,2,1.577545787
48572423,12,1,1,19,2,10,10,10,10,10,10,10,96,10,10,96,96,96,10,2,1,3,2,2,1,2,4,2,3,4,2,2,1,1,8,7,2,2,1.315126406
48572446,12,1,1,22,2,3,7,96,2,5,2,1,3,3,3,96,2,8,10,3,3,4,2,3,4,3,4,3,4,4,4,2,1,1,5,1,5,1,1.329312308
48572518,12,1,2,40,4,8,10,9,10,10,7,5,10,2,6,96,10,2,4,1,2,3,2,2,1,3,1,1,1,4,1,2,1,1,3,2,7,1,1.009619394
48572547,12,1,2,52,5,9,9,2,8,4,9,10,10,10,5,10,10,8,96,3,3,4,4,4,4,4,4,4,4,4,3,3,4,2,8,7,5,3,1.084561078
48572743,12,1,1,49,5,10,10,10,8,8,7,7,5,10,7,3,10,8,5,1,1,4,2,4,2,1,4,1,4,4,4,1,1,2,1,1,8,1,0.8027385099
48572848,12,1,2,16,2,5,10,2,5,5,10,10,5,10,5,10,5,5,5,2,2,3,3,3,3,1,4,4,3,4,4,3,3,1,11,4,4,3,1.060668106
48572877,12,1,2,16,2,6,10,10,8,10,10,10,3,8,9,96,10,9,9,1,2,2,3,2,2,3,3,2,3,3,1,1,1,1,3,2,4,1,1.060668106
48573122,12,1,1,63,6,10,10,96,9,10,8,10,10,10,10,96,6,10,96,3,1,4,2,1,2,2,3,2,3,4,3,1,4,2,3,2,8,1,0.8202243049
48573127,6,1,2,51,5,10,10,4,10,10,6,8,9,9,9,2,8,10,1,3,3,4,4,4,3,3,4,4,4,4,1,1,1,2,2,1,3,2,1.073879214
48573505,12,1,1,14,1,9,10,10,7,10,96,8,96,10,3,7,2,9,10,1,2,2,4,3,4,4,4,4,4,4,1,1,1,1,3,2,2,2,1.648219371
48573627,12,1,1,26,3,10,10,10,10,10,10,10,10,10,10,10,8,10,10,2,1,2,3,2,1,2,3,1,3,2,1,2,1,1,8,7,4,2,1.329312308
48573795,12,1,1,43,4,5,7,7,7,8,8,8,7,4,7,2,7,9,96,4,3,3,3,3,3,3,4,1,4,3,4,1,2,2,9,3,5,2,1.060668106
48573993,12,1,1,32,3,5,7,8,7,7,8,8,7,9,5,5,9,7,4,3,2,2,2,1,1,1,3,2,4,4,2,1,1,2,11,4,7,3,0.9838912748
48574167,12,1,1,58,5,6,10,10,10,10,10,10,10,10,10,8,8,8,2,2,1,1,1,1,2,1,2,1,3,2,1,1,3,2,8,7,8,3,0.9120528279
48574216,12,1,1,51,5,2,10,2,7,9,8,8,7,8,7,7,7,10,96,3,1,3,2,3,3,2,3,2,2,2,2,1,4,2,12,4,7,2,0.9120528279
48574315,12,1,1,14,1,6,10,96,10,10,10,5,6,10,10,96,6,10,10,1,3,4,2,1,1,4,4,1,4,4,4,1,3,1,3,2,2,1,1.315126406
48574431,12,1,2,68,6,9,10,10,10,10,10,8,9,9,7,96,8,9,96,2,3,1,4,4,4,4,4,4,2,4,4,1,4,3,8,7,1,3,1.344751393
48574691,12,1,2,27,3,8,8,6,96,6,5,5,96,8,96,8,6,7,96,1,2,3,4,4,4,3,4,3,4,3,3,3,4,2,2,1,6,3,1.005323062
48574797,12,1,1,34,3,7,10,10,9,7,10,10,96,10,9,8,10,6,10,3,2,3,3,3,3,1,2,2,1,4,2,3,3,1,8,7,5,2,1.084561078
